season,celebrity_name,rule,predicted_placement,placement
1,Trista Sutter,fair,6,6
1,Evander Holyfield,fair,5,5
1,Rachel Hunter,fair,4,4
1,Joey McIntyre,fair,3,3
1,John O'Hurley,fair,1,2
1,Kelly Monaco,fair,1,1
1,Trista Sutter,rank,6,6
1,Evander Holyfield,rank,5,5
1,Rachel Hunter,rank,4,4
1,Joey McIntyre,rank,3,3
1,John O'Hurley,rank,1,2
1,Kelly Monaco,rank,1,1
1,Trista Sutter,percent,6,6
1,Evander Holyfield,percent,5,5
1,Rachel Hunter,percent,4,4
1,Joey McIntyre,percent,3,3
1,John O'Hurley,percent,1,2
1,Kelly Monaco,percent,1,1
2,Kenny Mayne,fair,10,10
2,Tatum O'Neal,fair,9,9
2,Giselle Fernandez,fair,8,8
2,Master P,fair,7,7
2,Tia Carrere,fair,6,6
2,George Hamilton,fair,5,5
2,Lisa Rinna,fair,4,4
2,Drew Lachey,fair,1,1
2,Jerry Rice,fair,1,2
2,Stacy Keibler,fair,1,3
2,Kenny Mayne,rank,10,10
2,Tatum O'Neal,rank,9,9
2,Giselle Fernandez,rank,8,8
2,Master P,rank,7,7
2,Tia Carrere,rank,6,6
2,George Hamilton,rank,5,5
2,Lisa Rinna,rank,4,4
2,Drew Lachey,rank,1,1
2,Jerry Rice,rank,1,2
2,Stacy Keibler,rank,1,3
2,Kenny Mayne,percent,10,10
2,Tatum O'Neal,percent,9,9
2,Giselle Fernandez,percent,8,8
2,Master P,percent,7,7
2,Tia Carrere,percent,6,6
2,George Hamilton,percent,5,5
2,Lisa Rinna,percent,4,4
2,Drew Lachey,percent,1,1
2,Jerry Rice,percent,1,2
2,Stacy Keibler,percent,1,3
3,Tucker Carlson,fair,11,11
3,Shanna Moakler,fair,10,10
3,Harry Hamlin,fair,9,9
3,Vivica A. Fox,fair,8,8
3,Sara Evans,fair,7,6
3,Willa Ford,fair,6,7
3,Jerry Springer,fair,5,5
3,Monique Coleman,fair,4,4
3,Joey Lawrence,fair,3,3
3,Mario Lopez,fair,1,2
3,Emmitt Smith,fair,1,1
3,Tucker Carlson,rank,11,11
3,Shanna Moakler,rank,10,10
3,Harry Hamlin,rank,9,9
3,Vivica A. Fox,rank,8,8
3,Willa Ford,rank,7,7
3,Sara Evans,rank,6,6
3,Jerry Springer,rank,5,5
3,Monique Coleman,rank,4,4
3,Joey Lawrence,rank,3,3
3,Mario Lopez,rank,1,2
3,Emmitt Smith,rank,1,1
3,Tucker Carlson,percent,11,11
3,Shanna Moakler,percent,10,10
3,Harry Hamlin,percent,9,9
3,Vivica A. Fox,percent,8,8
3,Sara Evans,percent,7,6
3,Willa Ford,percent,6,7
3,Jerry Springer,percent,5,5
3,Monique Coleman,percent,4,4
3,Joey Lawrence,percent,3,3
3,Mario Lopez,percent,1,2
3,Emmitt Smith,percent,1,1
4,Paulina Porizkova,fair,11,11
4,Shandi Finnessey,fair,10,10
4,Leeza Gibbons,fair,9,9
4,Clyde Drexler,fair,8,8
4,Heather Mills,fair,7,7
4,John Ratzenberger,fair,6,6
4,Billy Ray Cyrus,fair,5,5
4,Ian Ziering,fair,4,4
4,Laila Ali,fair,1,3
4,Joey Fatone,fair,1,2
4,Apolo Anton Ohno,fair,1,1
4,Paulina Porizkova,rank,11,11
