season,week,conflict,fsh_match,fsh_overlap,fsh_fan_aligned,fsh_judge_aligned,dual_match,dual_overlap,dual_fan_aligned,dual_judge_aligned,fix_match,fix_overlap,fix_fan_aligned,fix_judge_aligned,rank_match,rank_overlap,rank_fan_aligned,rank_judge_aligned,pct_match,pct_overlap,pct_fan_aligned,pct_judge_aligned
1,2,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
1,3,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
1,4,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
1,5,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
2,1,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
2,2,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
2,3,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
2,4,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
2,5,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
2,6,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
2,7,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
3,1,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
3,2,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
3,3,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
3,4,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
3,5,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
3,7,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
3,8,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
3,9,0,1,1.0,1,1,0,0.0,0,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
4,2,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
4,3,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
4,4,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
4,5,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
4,6,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
4,7,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
4,8,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
4,9,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
5,1,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
5,2,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
5,3,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
5,4,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
5,5,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
5,6,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
5,7,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
5,8,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
5,9,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
6,2,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
6,3,1,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,0
6,4,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
6,5,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
6,6,0,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,1
