season,week,scheme,eliminated_count,bottom_k_match,deviation_count,overlap_ratio,recall,precision
1,2,rank,1,1,0,1.0,1.0,1.0
1,3,rank,1,1,0,1.0,1.0,1.0
1,4,rank,1,1,0,1.0,1.0,1.0
1,5,rank,1,1,0,1.0,1.0,1.0
2,1,rank,1,1,0,1.0,1.0,1.0
2,2,rank,1,1,0,1.0,1.0,1.0
2,3,rank,1,1,0,1.0,1.0,1.0
2,4,rank,1,1,0,1.0,1.0,1.0
2,5,rank,1,1,0,1.0,1.0,1.0
2,6,rank,1,1,0,1.0,1.0,1.0
2,7,rank,1,1,0,1.0,1.0,1.0
3,1,percent,1,1,0,1.0,1.0,1.0
3,2,percent,1,1,0,1.0,1.0,1.0
3,3,percent,1,1,0,1.0,1.0,1.0
3,4,percent,1,1,0,1.0,1.0,1.0
3,5,percent,2,1,0,1.0,1.0,1.0
3,7,percent,1,1,0,1.0,1.0,1.0
3,8,percent,1,1,0,1.0,1.0,1.0
3,9,percent,1,1,0,1.0,1.0,1.0
4,2,percent,1,1,0,1.0,1.0,1.0
4,3,percent,1,1,0,1.0,1.0,1.0
4,4,percent,1,1,0,1.0,1.0,1.0
4,5,percent,1,1,0,1.0,1.0,1.0
4,6,percent,1,1,0,1.0,1.0,1.0
4,7,percent,1,1,0,1.0,1.0,1.0
4,8,percent,1,1,0,1.0,1.0,1.0
4,9,percent,1,1,0,1.0,1.0,1.0
5,1,percent,1,1,0,1.0,1.0,1.0
5,2,percent,1,1,0,1.0,1.0,1.0
5,3,percent,1,1,0,1.0,1.0,1.0
5,4,percent,1,1,0,1.0,1.0,1.0
5,5,percent,1,1,0,1.0,1.0,1.0
5,6,percent,1,1,0,1.0,1.0,1.0
5,7,percent,1,1,0,1.0,1.0,1.0
5,8,percent,1,1,0,1.0,1.0,1.0
5,9,percent,1,1,0,1.0,1.0,1.0
6,2,percent,2,1,0,1.0,1.0,1.0
6,3,percent,1,1,0,1.0,1.0,1.0
6,4,percent,1,1,0,1.0,1.0,1.0
6,5,percent,1,1,0,1.0,1.0,1.0
6,6,percent,1,1,0,1.0,1.0,1.0
6,7,percent,1,1,0,1.0,1.0,1.0
6,8,percent,1,1,0,1.0,1.0,1.0
6,9,percent,1,1,0,1.0,1.0,1.0
7,1,percent,2,1,0,1.0,1.0,1.0
7,2,percent,2,1,0,1.0,1.0,1.0
7,4,percent,1,1,0,1.0,1.0,1.0
7,5,percent,1,1,0,1.0,1.0,1.0
7,6,percent,1,1,0,1.0,1.0,1.0
7,7,percent,1,1,0,1.0,1.0,1.0
7,8,percent,1,1,0,1.0,1.0,1.0
7,9,percent,1,1,0,1.0,1.0,1.0
8,2,percent,1,1,0,1.0,1.0,1.0
8,3,percent,1,1,0,1.0,1.0,1.0
8,4,percent,2,1,0,1.0,1.0,1.0
8,5,percent,1,1,0,1.0,1.0,1.0
8,6,percent,1,1,0,1.0,1.0,1.0
8,7,percent,1,1,0,1.0,1.0,1.0
8,8,percent,1,1,0,1.0,1.0,1.0
8,9,percent,1,1,0,1.0,1.0,1.0
8,10,percent,1,1,0,1.0,1.0,1.0
9,1,percent,2,1,0,1.0,1.0,1.0
9,2,percent,1,1,0,1.0,1.0,1.0
9,3,percent,2,1,0,1.0,1.0,1.0
9,4,percent,1,1,0,1.0,1.0,1.0
9,5,percent,1,1,0,1.0,1.0,1.0
9,6,percent,2,1,0,1.0,1.0,1.0
9,7,percent,2,1,0,1.0,1.0,1.0
