season,week,celebrity_name,judge_total,judge_rank,fan_rank,fan_vote_share,fan_votes_absolute,total_votes_assumed,scheme,eliminated_end_of_week,judge_percent
1,1,John O'Hurley,6.666666666666667,2.0,2.0,0.23809523809523808,2380952.3809523806,10000000,rank,0,
1,1,Kelly Monaco,4.333333333333333,6.0,6.0,0.047619047619047616,476190.47619047615,10000000,rank,0,
1,1,Evander Holyfield,6.0,4.5,4.5,0.11904761904761904,1190476.1904761903,10000000,rank,0,
1,1,Rachel Hunter,6.666666666666667,2.0,2.0,0.23809523809523808,2380952.3809523806,10000000,rank,0,
1,1,Joey McIntyre,6.666666666666667,2.0,2.0,0.23809523809523808,2380952.3809523806,10000000,rank,0,
1,1,Trista Sutter,6.0,4.5,4.5,0.11904761904761904,1190476.1904761903,10000000,rank,0,
1,2,John O'Hurley,8.666666666666666,1.0,5.0,0.09523809523809523,952380.9523809523,10000000,rank,0,
1,2,Kelly Monaco,5.666666666666667,5.0,2.0,0.23809523809523808,2380952.3809523806,10000000,rank,0,
1,2,Evander Holyfield,4.666666666666667,6.0,1.0,0.2857142857142857,2857142.857142857,10000000,rank,0,
1,2,Rachel Hunter,8.0,2.0,4.0,0.14285714285714285,1428571.4285714284,10000000,rank,0,
1,2,Joey McIntyre,7.0,3.0,3.0,0.19047619047619047,1904761.9047619046,10000000,rank,0,
1,2,Trista Sutter,6.333333333333333,4.0,6.0,0.047619047619047616,476190.47619047615,10000000,rank,1,
1,3,John O'Hurley,8.0,2.0,3.0,0.2,2000000.0,10000000,rank,0,
1,3,Kelly Monaco,7.0,4.0,1.0,0.3333333333333333,3333333.333333333,10000000,rank,0,
1,3,Evander Holyfield,4.333333333333333,5.0,5.0,0.06666666666666667,666666.6666666666,10000000,rank,1,
1,3,Rachel Hunter,8.666666666666666,1.0,4.0,0.13333333333333333,1333333.3333333333,10000000,rank,0,
1,3,Joey McIntyre,7.333333333333333,3.0,2.0,0.26666666666666666,2666666.6666666665,10000000,rank,0,
1,4,John O'Hurley,7.0,3.0,2.0,0.3,3000000.0,10000000,rank,0,
1,4,Kelly Monaco,8.666666666666666,1.0,3.0,0.2,2000000.0,10000000,rank,0,
1,4,Rachel Hunter,8.333333333333334,2.0,4.0,0.1,1000000.0,10000000,rank,1,
1,4,Joey McIntyre,6.666666666666667,4.0,1.0,0.4,4000000.0,10000000,rank,0,
1,5,John O'Hurley,9.0,1.0,2.0,0.3333333333333333,3333333.333333333,10000000,rank,0,
1,5,Kelly Monaco,7.833333333333333,2.0,1.0,0.5,5000000.0,10000000,rank,0,
1,5,Joey McIntyre,7.5,3.0,3.0,0.16666666666666666,1666666.6666666665,10000000,rank,1,
1,6,John O'Hurley,9.0,2.0,2.0,0.3333333333333333,3333333.333333333,10000000,rank,0,
1,6,Kelly Monaco,9.166666666666666,1.0,1.0,0.6666666666666666,6666666.666666666,10000000,rank,0,
2,1,Tatum O'Neal,7.666666666666667,2.5,7.0,0.07272727272727272,727272.7272727273,10000000,rank,0,
2,1,Tia Carrere,6.666666666666667,6.0,4.0,0.12727272727272726,1272727.2727272727,10000000,rank,0,
2,1,George Hamilton,6.0,8.0,2.0,0.16363636363636364,1636363.6363636365,10000000,rank,0,
2,1,Lisa Rinna,6.333333333333333,7.0,3.0,0.14545454545454545,1454545.4545454546,10000000,rank,0,
2,1,Stacy Keibler,7.333333333333333,4.0,6.0,0.09090909090909091,909090.9090909091,10000000,rank,0,
