feature,group,coef_judge,coef_fan
ballroom_partner_Daniella Karagach (Rumer Willis week 9),ballroom_partner_,0.8650125658821399,0.020466692322946397
ballroom_partner_Derek Hough,ballroom_partner_,0.7888372136487548,-0.014192216413332487
ballroom_partner_Alan Bersten (Rashad Jennings week 9),ballroom_partner_,0.5276048449553483,-0.0012867907486234587
ballroom_partner_Valentin Chmerkovskiy,ballroom_partner_,0.3160918858125382,-0.02955323935571237
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),ballroom_partner_,0.27622182777603776,-0.010811332269727133
ballroom_partner_Artem Chigvintsev,ballroom_partner_,0.2630466752092497,-0.041427022222771254
ballroom_partner_Witney Carson,ballroom_partner_,0.21602260441748494,-0.02003057073580891
ballroom_partner_Damian Whitewood,ballroom_partner_,0.19610198623625275,-0.04839083168708748
ballroom_partner_Dmitry Chaplin,ballroom_partner_,0.18201475100312214,-0.05746418014438462
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),ballroom_partner_,0.10960548540077,-0.028137632233934517
ballroom_partner_Mark Ballas,ballroom_partner_,0.08729903325139743,-0.0509538130657466
ballroom_partner_Sasha Farber,ballroom_partner_,0.08531729699427082,-0.017967680728082004
ballroom_partner_Daniella Karagach,ballroom_partner_,0.023762076084962058,0.0028723116157447007
ballroom_partner_Val Chmerkovskiy,ballroom_partner_,0.019382805985971863,-0.029703595735900302
ballroom_partner_Tony Dovolani,ballroom_partner_,-0.018685462188148594,-0.04891636170725894
ballroom_partner_Maksim Chmerkoskiy,ballroom_partner_,-0.030311733884833214,-0.04090212586619345
ballroom_partner_Corky Ballas,ballroom_partner_,-0.0563795220023835,-0.02816514553160465
ballroom_partner_Pasha Pashkov,ballroom_partner_,-0.06967873567632193,-0.02737943366128492
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),ballroom_partner_,-0.07264783295899968,-0.009282088012186447
ballroom_partner_Brandon Armstrong,ballroom_partner_,-0.08181654924265214,-0.03223381238045145
ballroom_partner_Cheryl Burke,ballroom_partner_,-0.09666866951525555,-0.02901479533106564
ballroom_partner_Peta Murgatroyd,ballroom_partner_,-0.128815786439741,-0.02550164670105457
ballroom_partner_Kym Johnson,ballroom_partner_,-0.1393761247051123,-0.042103913365315986
ballroom_partner_Emma Slater,ballroom_partner_,-0.13937755250293027,-0.012284962815926288
ballroom_partner_Lindsay Arnold,ballroom_partner_,-0.15732563930858,-0.023023275829256597
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),ballroom_partner_,-0.1905933775385202,0.04966839000468842
ballroom_partner_Allison Holker,ballroom_partner_,-0.2225163653510435,-0.03212147281291929
ballroom_partner_Gleb Savchenko,ballroom_partner_,-0.22261792297845762,-0.027632586060066112
ballroom_partner_Nick Kosovich,ballroom_partner_,-0.2501091848762561,-0.10599712445313686
ballroom_partner_Tristan MacManus,ballroom_partner_,-0.26374962309230093,-0.05772648262087428
ballroom_partner_Sharna Burgess,ballroom_partner_,-0.27429710692830767,-0.030380164276090332
ballroom_partner_Louis van Amstel,ballroom_partner_,-0.3935174274433493,-0.052865842455574165
ballroom_partner_Karina Smirnoff,ballroom_partner_,-0.4579958357915327,-0.04714609907235562
ballroom_partner_Jonathan Roberts,ballroom_partner_,-0.4770347742625336,-0.06924420535801462
ballroom_partner_Jesse DeSoto,ballroom_partner_,-0.48194999358359497,-0.05852017447801862
ballroom_partner_Anna Trebunskaya,ballroom_partner_,-0.5192839873250906,-0.05159160431900836
ballroom_partner_Henry Byalikov,ballroom_partner_,-0.5454597683810659,-0.11777058450662806
ballroom_partner_Fabian Sanchez,ballroom_partner_,-0.5722819441064364,-0.09068184041339986
ballroom_partner_Rylee Arnold,ballroom_partner_,-0.7710967389105826,0.0036700992228904973
ballroom_partner_Charlotte Jorgensen,ballroom_partner_,-0.7924814322243269,-0.013674977298391797
ballroom_partner_Jenna Johnson,ballroom_partner_,-0.794312283268277,-0.03293336709307945
ballroom_partner_Julianne Hough,ballroom_partner_,-0.8264269750301294,-0.05060619815489506
ballroom_partner_Edyta Sliwinska,ballroom_partner_,-0.8578337116881019,-0.06010739825631971
ballroom_partner_Britt Stewart,ballroom_partner_,-0.8627317153670222,-0.05304437667510187
ballroom_partner_Alec Mazo,ballroom_partner_,-0.9455053640822096,-0.03363490581150243
ballroom_partner_Keo Motsepe,ballroom_partner_,-0.9579090584354994,-0.04728377105123358
ballroom_partner_Brian Fortuna,ballroom_partner_,-0.959081410068812,-0.06470649604877887
ballroom_partner_Chelsie Hightower,ballroom_partner_,-0.9982756797749689,-0.08227681373096893
ballroom_partner_Kym Herjavec,ballroom_partner_,-1.0649026963869475,-0.0542375911426991
ballroom_partner_Koko Iwasaki,ballroom_partner_,-1.075274480394986,0.0023508186746698813
ballroom_partner_Lacey Schwimmer,ballroom_partner_,-1.0992566634233571,-0.05781449642744694
ballroom_partner_Ezra Sosa,ballroom_partner_,-1.208621727123388,-0.03542468183701651
ballroom_partner_Inna Brayer,ballroom_partner_,-1.341954411632792,-0.1631098557335284
ballroom_partner_Anna Demidova,ballroom_partner_,-1.393070035991605,-0.07282394412854121
ballroom_partner_Tyne Stecklein,ballroom_partner_,-1.458680503379726,-0.10051313504788734
ballroom_partner_Jan Ravnik,ballroom_partner_,-1.9247429465075567,-0.08803258020783739
ballroom_partner_Ashly DelGrosso,ballroom_partner_,-2.3404557516520894,-0.02323914531313928
ballroom_partner_Elena Grinenko,ballroom_partner_,-2.9982691196777687,-0.12387269588245357
ballroom_partner_Andrea Hale,ballroom_partner_,-3.0209892789482713,-0.1363866250201794
celebrity_industry_Producer,celebrity_industry_,1.4263456070669176,-0.0023260566102228184
celebrity_industry_Astronaut,celebrity_industry_,0.6341917036116582,-0.027890314498195228
celebrity_industry_Musician,celebrity_industry_,0.5269007482964438,0.05224882394909329
celebrity_industry_Conservationist,celebrity_industry_,0.27622182777604865,-0.010811332269724486
celebrity_industry_News Anchor,celebrity_industry_,0.06617027968123512,0.01867014544186294
celebrity_industry_Racing Driver,celebrity_industry_,-0.05095965758964982,-0.008604134668194409
celebrity_industry_Social media personality,celebrity_industry_,-0.07264783295899363,-0.009282088012188001
celebrity_industry_Fitness Instructor,celebrity_industry_,-0.10026565243672048,0.03870909552967631
celebrity_industry_Singer/Rapper,celebrity_industry_,-0.19707997731109328,-0.01692519588648954
celebrity_industry_Social Media Personality,celebrity_industry_,-0.25145205027756673,-0.032298281760855245
celebrity_industry_Military,celebrity_industry_,-0.25200360593627225,0.010996398290019173
celebrity_industry_Motivational Speaker,celebrity_industry_,-0.2607990004838797,0.03972300768218568
celebrity_industry_Fashion Designer,celebrity_industry_,-0.33501575159393826,-0.009867895616613914
celebrity_industry_Athlete,celebrity_industry_,-0.3663723920162605,-0.007658254679915169
celebrity_industry_Comedian,celebrity_industry_,-0.3801578674301149,-0.01579314418634556
celebrity_industry_TV Personality,celebrity_industry_,-0.5950156028480886,-0.02033492791372231
celebrity_industry_Radio Personality,celebrity_industry_,-0.7887633938574778,-0.03847206495573228
celebrity_industry_Beauty Pagent,celebrity_industry_,-0.9590814100688205,-0.06470649604877973
celebrity_industry_Model,celebrity_industry_,-1.0925396018823603,-0.03405536167105539
celebrity_industry_Entrepreneur,celebrity_industry_,-1.1725270419903229,-0.026754412952288475
celebrity_industry_Con artist,celebrity_industry_,-1.208621727123404,-0.035424681837018815
celebrity_industry_Sports Broadcaster,celebrity_industry_,-1.2622326469317544,-0.041221009889771454
celebrity_industry_Journalist,celebrity_industry_,-1.341952499127292,-0.015033218494530994
celebrity_industry_Politician,celebrity_industry_,-1.4794817524750536,-0.011627039492731061
celebrity_industry_Magician,celebrity_industry_,-2.2234953572394813,-0.11060337817780506
celebrity_homestate_Nebraska,celebrity_homestate_,1.051492064370204,0.01043066901229039
celebrity_homestate_Utah,celebrity_homestate_,1.0268179440474423,0.05555942779460954
celebrity_homestate_Maine,celebrity_homestate_,0.9662751997921589,0.08149063783201886
celebrity_homestate_Washington,celebrity_homestate_,0.5605931620223564,0.010926959008245838
celebrity_homestate_West Virginia,celebrity_homestate_,0.4195341865661665,-0.01806772208151762
celebrity_homestate_Louisiana,celebrity_homestate_,0.3255343877452901,0.03409591980630044
celebrity_homestate_Michigan,celebrity_homestate_,0.31069879014509294,0.00021350823138837488
celebrity_homestate_Pennsylvania,celebrity_homestate_,0.21213500439708477,0.03020082517012746
celebrity_homestate_Mississippi,celebrity_homestate_,0.18001746679122693,0.03973332548430892
celebrity_homestate_Connecticut,celebrity_homestate_,0.1737631179580923,0.013643855130145485
celebrity_homestate_Georgia,celebrity_homestate_,0.16701474123587645,0.03248022584378692
celebrity_homestate_Tennessee,celebrity_homestate_,0.15826243128449613,0.03154337792577065
celebrity_homestate_Massachusetts,celebrity_homestate_,0.14080892379028329,0.018396391900383904
celebrity_homestate_Hawaii,celebrity_homestate_,0.09609918862971623,0.0011262208782134193
celebrity_homestate_Florida,celebrity_homestate_,0.05677652523549659,0.003018550788465385
celebrity_homestate_Maryland,celebrity_homestate_,0.05066747492686058,-0.013333872663797885
celebrity_homestate_Minnesota,celebrity_homestate_,0.04756368279114476,-0.008350837671223334
celebrity_homestate_Virginia,celebrity_homestate_,0.04332602765290719,0.0013086713342846772
celebrity_homestate_Nevada,celebrity_homestate_,-0.009604488296751423,0.015342003747251701
celebrity_homestate_Texas,celebrity_homestate_,-0.0350370825519466,0.006532666142161633
celebrity_homestate_Arkansas,celebrity_homestate_,-0.04564866875209555,0.037795485265230015
celebrity_homestate_Colorado,celebrity_homestate_,-0.05777862812518131,0.012031790293020428
celebrity_homestate_Ohio,celebrity_homestate_,-0.09743547402479791,-0.02555984479622594
celebrity_homestate_Kansas,celebrity_homestate_,-0.14763085625740766,0.0021448577930009358
celebrity_homestate_Delaware,celebrity_homestate_,-0.16330157124677686,-0.027653108549384804
celebrity_homestate_Arizona,celebrity_homestate_,-0.18566185872654167,0.027470500352981778
celebrity_homestate_Illinois,celebrity_homestate_,-0.19828001892423364,0.006860765436331391
celebrity_homestate_Washington D.C.,celebrity_homestate_,-0.21131992481888628,0.03297642159934685
celebrity_homestate_New York,celebrity_homestate_,-0.25666255275509253,-0.0012373035016726014
celebrity_homestate_Missouri,celebrity_homestate_,-0.2676640009048585,-0.00823459835621454
celebrity_homestate_California,celebrity_homestate_,-0.34282871184802566,-0.005568730869000296
celebrity_homestate_Indiana,celebrity_homestate_,-0.38452480950834156,-0.014219751242432653
celebrity_homestate_Iowa,celebrity_homestate_,-0.4098274523299442,0.001391740792022228
celebrity_homestate_New Jersey,celebrity_homestate_,-0.4523040935237495,-0.005772078279235707
celebrity_homestate_Wisconsin,celebrity_homestate_,-0.4804730212296191,-0.009471693185167175
celebrity_homestate_Rhode Island,celebrity_homestate_,-0.4819499935835934,-0.05852017447801851
celebrity_homestate_Oregon,celebrity_homestate_,-0.4962704540700196,0.03324930110228017
celebrity_homestate_South Carolina,celebrity_homestate_,-0.5208764140835258,-0.004452241107932037
celebrity_homestate_New Hamshire,celebrity_homestate_,-0.7890735264027778,-0.020802503383419865
celebrity_homestate_North Carolina,celebrity_homestate_,-0.8477753124627856,-0.020085093887705005
celebrity_homestate_Kentucky,celebrity_homestate_,-0.8523751652327026,-0.0042892487586701986
celebrity_homestate_South Dakota,celebrity_homestate_,-0.8956097499100718,0.03834114735147336
celebrity_homestate_New Mexico,celebrity_homestate_,-1.168379040644512,-0.04120301120107563
celebrity_homestate_Alaska,celebrity_homestate_,-1.4184589527734186,0.03139468459891061
celebrity_homecountry/region_Croatia,celebrity_homecountry/region_,0.0905655034422449,0.029356665848117774
celebrity_homecountry/region_Wales,celebrity_homecountry/region_,-0.01940500513162735,0.05073861793298356
celebrity_homecountry/region_Brazil,celebrity_homecountry/region_,-0.03789175445967019,0.02835133797160964
celebrity_homecountry/region_New Zealand,celebrity_homecountry/region_,-0.046031926190865824,0.04688689602923629
celebrity_homecountry/region_Ireland,celebrity_homecountry/region_,-0.11633135242633541,0.022346092684971716
celebrity_homecountry/region_France,celebrity_homecountry/region_,-0.14777332827163314,-0.010292040284074967
celebrity_homecountry/region_Cuba,celebrity_homecountry/region_,-0.29362727967604496,0.00927926804631872
celebrity_homecountry/region_South Korea,celebrity_homecountry/region_,-0.32373245623962044,0.04941256346535362
celebrity_homecountry/region_Poland,celebrity_homecountry/region_,-0.3937088585915341,-0.036355786686229796
celebrity_homecountry/region_Canada,celebrity_homecountry/region_,-0.4671615304039852,0.006132301014662816
celebrity_homecountry/region_Philippines,celebrity_homecountry/region_,-0.6694559922667849,0.007171275202937546
celebrity_homecountry/region_United States,celebrity_homecountry/region_,-0.9783150228496948,-0.009315584750676975
celebrity_homecountry/region_England,celebrity_homecountry/region_,-1.0563023942028604,-0.0018076962624933995
celebrity_homecountry/region_Chile,celebrity_homecountry/region_,-1.1243541885542307,-0.016678899340320935
celebrity_homecountry/region_Russia,celebrity_homecountry/region_,-1.2096583473599842,-0.03660157770358166
celebrity_homecountry/region_Spain,celebrity_homecountry/region_,-1.23562919197009,-0.01924580855986773
celebrity_homecountry/region_Czechoslovakia,celebrity_homecountry/region_,-1.5020093763160232,-0.03960714696095993
celebrity_homecountry/region_Germany,celebrity_homecountry/region_,-1.5482383864294458,-0.012723990972589224
celebrity_homecountry/region_Mexico,celebrity_homecountry/region_,-1.6061937747074486,-0.01729191533568146
celebrity_homecountry/region_Australia,celebrity_homecountry/region_,-1.662188821991212,-0.006988180718836966
celebrity_homecountry/region_Venezuela,celebrity_homecountry/region_,-1.7163731888021951,-0.00570477932993667
celebrity_homecountry/region_Taiwan China,celebrity_homecountry/region_,-2.169964742614485,-0.033176049797778676
celebrity_homecountry/region_Italy,celebrity_homecountry/region_,-2.26448319091453,-0.04926042438067409
celebrity_homecountry/region_South Africa,celebrity_homecountry/region_,-2.6491234689478924,-0.07716824116844136
celebrity_homecountry/region_Yugoslavia,celebrity_homecountry/region_,-3.708418881733987,-0.09219492630621082
