feature,coef
intercept,11.105782671026802
celebrity_industry_Producer,1.4263456070669176
celebrity_homestate_Nebraska,1.051492064370204
celebrity_homestate_Utah,1.0268179440474423
celebrity_homestate_Maine,0.9662751997921589
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.8650125658821399
ballroom_partner_Derek Hough,0.7888372136487548
celebrity_industry_Astronaut,0.6341917036116582
celebrity_homestate_Washington,0.5605931620223564
ballroom_partner_Alan Bersten (Rashad Jennings week 9),0.5276048449553483
celebrity_industry_Musician,0.5269007482964438
celebrity_homestate_West Virginia,0.4195341865661665
celebrity_homestate_Louisiana,0.3255343877452901
ballroom_partner_Valentin Chmerkovskiy,0.3160918858125382
celebrity_homestate_Michigan,0.31069879014509294
celebrity_industry_Conservationist,0.27622182777604865
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.27622182777603776
ballroom_partner_Artem Chigvintsev,0.2630466752092497
ballroom_partner_Witney Carson,0.21602260441748494
celebrity_homestate_Pennsylvania,0.21213500439708477
ballroom_partner_Damian Whitewood,0.19610198623625275
ballroom_partner_Dmitry Chaplin,0.18201475100312214
celebrity_homestate_Mississippi,0.18001746679122693
celebrity_homestate_Connecticut,0.1737631179580923
celebrity_homestate_Georgia,0.16701474123587645
celebrity_homestate_Tennessee,0.15826243128449613
celebrity_homestate_Massachusetts,0.14080892379028329
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),0.10960548540077
celebrity_homestate_Hawaii,0.09609918862971623
celebrity_homecountry/region_Croatia,0.0905655034422449
ballroom_partner_Mark Ballas,0.08729903325139743
ballroom_partner_Sasha Farber,0.08531729699427082
celebrity_industry_News Anchor,0.06617027968123512
celebrity_homestate_Florida,0.05677652523549659
celebrity_homestate_Maryland,0.05066747492686058
celebrity_homestate_Minnesota,0.04756368279114476
celebrity_homestate_Virginia,0.04332602765290719
ballroom_partner_Daniella Karagach,0.023762076084962058
ballroom_partner_Val Chmerkovskiy,0.019382805985971863
season,-0.005051999640127133
celebrity_homestate_Nevada,-0.009604488296751423
ballroom_partner_Tony Dovolani,-0.018685462188148594
celebrity_homecountry/region_Wales,-0.01940500513162735
ballroom_partner_Maksim Chmerkoskiy,-0.030311733884833214
celebrity_homestate_Texas,-0.0350370825519466
celebrity_homecountry/region_Brazil,-0.03789175445967019
age,-0.0448130772109811
celebrity_homestate_Arkansas,-0.04564866875209555
celebrity_homecountry/region_New Zealand,-0.046031926190865824
celebrity_industry_Racing Driver,-0.05095965758964982
ballroom_partner_Corky Ballas,-0.0563795220023835
celebrity_homestate_Colorado,-0.05777862812518131
ballroom_partner_Pasha Pashkov,-0.06967873567632193
celebrity_industry_Social media personality,-0.07264783295899363
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),-0.07264783295899968
ballroom_partner_Brandon Armstrong,-0.08181654924265214
ballroom_partner_Cheryl Burke,-0.09666866951525555
celebrity_homestate_Ohio,-0.09743547402479791
celebrity_industry_Fitness Instructor,-0.10026565243672048
celebrity_homecountry/region_Ireland,-0.11633135242633541
ballroom_partner_Peta Murgatroyd,-0.128815786439741
ballroom_partner_Kym Johnson,-0.1393761247051123
ballroom_partner_Emma Slater,-0.13937755250293027
celebrity_homestate_Kansas,-0.14763085625740766
celebrity_homecountry/region_France,-0.14777332827163314
ballroom_partner_Lindsay Arnold,-0.15732563930858
celebrity_homestate_Delaware,-0.16330157124677686
celebrity_homestate_Arizona,-0.18566185872654167
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),-0.1905933775385202
celebrity_industry_Singer/Rapper,-0.19707997731109328
celebrity_homestate_Illinois,-0.19828001892423364
celebrity_homestate_Washington D.C.,-0.21131992481888628
ballroom_partner_Allison Holker,-0.2225163653510435
ballroom_partner_Gleb Savchenko,-0.22261792297845762
ballroom_partner_Nick Kosovich,-0.2501091848762561
celebrity_industry_Social Media Personality,-0.25145205027756673
celebrity_industry_Military,-0.25200360593627225
celebrity_homestate_New York,-0.25666255275509253
celebrity_industry_Motivational Speaker,-0.2607990004838797
ballroom_partner_Tristan MacManus,-0.26374962309230093
celebrity_homestate_Missouri,-0.2676640009048585
ballroom_partner_Sharna Burgess,-0.27429710692830767
celebrity_homecountry/region_Cuba,-0.29362727967604496
celebrity_homecountry/region_South Korea,-0.32373245623962044
celebrity_industry_Fashion Designer,-0.33501575159393826
celebrity_homestate_California,-0.34282871184802566
celebrity_industry_Athlete,-0.3663723920162605
celebrity_industry_Comedian,-0.3801578674301149
celebrity_homestate_Indiana,-0.38452480950834156
ballroom_partner_Louis van Amstel,-0.3935174274433493
celebrity_homecountry/region_Poland,-0.3937088585915341
celebrity_homestate_Iowa,-0.4098274523299442
celebrity_homestate_New Jersey,-0.4523040935237495
ballroom_partner_Karina Smirnoff,-0.4579958357915327
celebrity_homecountry/region_Canada,-0.4671615304039852
ballroom_partner_Jonathan Roberts,-0.4770347742625336
celebrity_homestate_Wisconsin,-0.4804730212296191
celebrity_homestate_Rhode Island,-0.4819499935835934
ballroom_partner_Jesse DeSoto,-0.48194999358359497
celebrity_homestate_Oregon,-0.4962704540700196
ballroom_partner_Anna Trebunskaya,-0.5192839873250906
celebrity_homestate_South Carolina,-0.5208764140835258
ballroom_partner_Henry Byalikov,-0.5454597683810659
ballroom_partner_Fabian Sanchez,-0.5722819441064364
celebrity_industry_TV Personality,-0.5950156028480886
celebrity_homecountry/region_Philippines,-0.6694559922667849
ballroom_partner_Rylee Arnold,-0.7710967389105826
celebrity_industry_Radio Personality,-0.7887633938574778
celebrity_homestate_New Hamshire,-0.7890735264027778
ballroom_partner_Charlotte Jorgensen,-0.7924814322243269
ballroom_partner_Jenna Johnson,-0.794312283268277
ballroom_partner_Julianne Hough,-0.8264269750301294
celebrity_homestate_North Carolina,-0.8477753124627856
celebrity_homestate_Kentucky,-0.8523751652327026
ballroom_partner_Edyta Sliwinska,-0.8578337116881019
ballroom_partner_Britt Stewart,-0.8627317153670222
celebrity_homestate_South Dakota,-0.8956097499100718
ballroom_partner_Alec Mazo,-0.9455053640822096
ballroom_partner_Keo Motsepe,-0.9579090584354994
ballroom_partner_Brian Fortuna,-0.959081410068812
celebrity_industry_Beauty Pagent,-0.9590814100688205
celebrity_homecountry/region_United States,-0.9783150228496948
ballroom_partner_Chelsie Hightower,-0.9982756797749689
celebrity_homecountry/region_England,-1.0563023942028604
ballroom_partner_Kym Herjavec,-1.0649026963869475
ballroom_partner_Koko Iwasaki,-1.075274480394986
celebrity_industry_Model,-1.0925396018823603
ballroom_partner_Lacey Schwimmer,-1.0992566634233571
