feature,vif
ballroom_partner_Brian Fortuna,inf
ballroom_partner_Ezra Sosa,inf
celebrity_homestate_Maine,inf
celebrity_homestate_Rhode Island,inf
ballroom_partner_Andrea Hale,inf
celebrity_industry_Social media personality,inf
ballroom_partner_Charlotte Jorgensen,inf
celebrity_industry_Sports Broadcaster,inf
celebrity_industry_Conservationist,inf
celebrity_industry_Con artist,inf
ballroom_partner_Jesse DeSoto,inf
celebrity_industry_Beauty Pagent,inf
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),inf
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),inf
celebrity_homecountry/region_United States,51.76456161624846
celebrity_homecountry/region_England,10.968761250654104
celebrity_homestate_California,10.846683355679776
celebrity_homecountry/region_Canada,10.382387030921223
celebrity_homestate_New York,8.06202444364264
celebrity_homecountry/region_Australia,6.643614169431262
celebrity_homestate_Texas,6.135202854064355
ballroom_partner_Cheryl Burke,5.425292305299375
season,5.4222856906163885
ballroom_partner_Mark Ballas,5.101236959951751
ballroom_partner_Derek Hough,5.046345698182586
celebrity_homestate_Florida,4.9758306769489735
ballroom_partner_Maksim Chmerkoskiy,4.3009277436108055
celebrity_homestate_Georgia,4.276117336124571
ballroom_partner_Kym Johnson,4.26826343886534
ballroom_partner_Karina Smirnoff,4.081757250945533
ballroom_partner_Valentin Chmerkovskiy,4.0646080708069485
celebrity_homecountry/region_Brazil,4.060833599704903
ballroom_partner_Tony Dovolani,4.029467524966024
celebrity_homestate_Illinois,3.8341603822298564
celebrity_homecountry/region_France,3.555868161209433
ballroom_partner_Sharna Burgess,3.480672150008883
celebrity_homestate_Pennsylvania,3.433095240206968
celebrity_homecountry/region_Chile,3.3584135129946477
ballroom_partner_Peta Murgatroyd,3.2429458008612833
ballroom_partner_Emma Slater,3.223508784462807
ballroom_partner_Witney Carson,3.178924246470716
ballroom_partner_Edyta Sliwinska,3.1354106003161664
ballroom_partner_Sasha Farber,3.1078540010208306
celebrity_homestate_Louisiana,3.0769965896016322
celebrity_homecountry/region_Croatia,3.0637552282482194
ballroom_partner_Julianne Hough,3.032822967660503
celebrity_homecountry/region_Italy,2.985660303189565
