scope,season,weeks,conflict_weeks,rank_fan_align_rate,rank_judge_align_rate,percent_fan_align_rate,percent_judge_align_rate,rank_judge_save_change_rate,percent_judge_save_change_rate,rank_judge_overrides_fan_rate,percent_judge_overrides_fan_rate
season,1,6,2,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
season,2,8,4,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0
season,3,10,3,1.0,0.7,1.0,0.7,0.0,0.2,0.0,0.2
season,4,10,5,1.0,0.5,1.0,0.5,0.0,0.4,0.0,0.4
season,5,10,6,1.0,0.4,1.0,0.4,0.2,0.3,0.2,0.3
season,6,10,3,1.0,0.7,1.0,0.7,0.1,0.2,0.1,0.2
season,7,10,5,0.8,0.6,0.8,0.6,0.1,0.2,0.3,0.4
season,8,11,5,1.0,0.5454545454545454,1.0,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.45454545454545453
season,9,10,5,0.9,0.5,0.9,0.5,0.1,0.2,0.2,0.3
season,10,10,3,1.0,0.7,1.0,0.7,0.0,0.3,0.0,0.3
season,11,10,5,1.0,0.5,1.0,0.5,0.3,0.5,0.3,0.5
season,12,10,5,1.0,0.5,1.0,0.5,0.1,0.3,0.1,0.3
season,13,10,4,1.0,0.6,1.0,0.6,0.0,0.2,0.0,0.2
season,14,10,3,0.9,0.7,1.0,0.7,0.1,0.3,0.0,0.3
season,15,10,4,1.0,0.6,1.0,0.6,0.1,0.1,0.1,0.1
season,16,10,1,1.0,0.9,1.0,0.9,0.0,0.0,0.0,0.0
season,17,11,7,1.0,0.36363636363636365,1.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454
season,18,10,5,1.0,0.5,1.0,0.5,0.1,0.3,0.1,0.3
season,19,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,0.0,0.36363636363636365,0.0,0.36363636363636365
season,20,10,6,1.0,0.4,1.0,0.4,0.3,0.5,0.3,0.5
season,21,10,1,1.0,0.9,1.0,0.9,0.1,0.0,0.1,0.0
season,22,10,3,1.0,0.7,1.0,0.7,0.1,0.2,0.1,0.2
season,23,11,4,1.0,0.6363636363636364,1.0,0.6363636363636364,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727
season,24,10,5,0.9,0.5,0.9,0.5,0.2,0.3,0.3,0.4
season,25,10,4,1.0,0.6,1.0,0.6,0.1,0.3,0.1,0.3
season,26,3,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333
season,27,9,7,0.8888888888888888,0.2222222222222222,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.6666666666666666
season,28,11,4,1.0,0.6363636363636364,1.0,0.6363636363636364,0.2727272727272727,0.0,0.2727272727272727,0.0
season,29,11,5,1.0,0.5454545454545454,1.0,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.0
season,30,10,3,1.0,0.7,1.0,0.7,0.1,0.0,0.1,0.0
season,31,10,6,1.0,0.4,1.0,0.4,0.3,0.0,0.3,0.0
season,32,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.0
season,33,9,4,1.0,0.5555555555555556,1.0,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0
season,34,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,0.0
