scope,weeks,conflict_weeks,rank_fan_align_rate,rank_judge_align_rate,percent_fan_align_rate,percent_judge_align_rate,rank_fan_override_rate,percent_fan_override_rate,rank_judge_save_change_rate,percent_judge_save_change_rate,rank_judge_overrides_fan_rate,percent_judge_overrides_fan_rate,mcnemar_fan_chi2,mcnemar_fan_p,mcnemar_judge_chi2,mcnemar_judge_p,season
overall,333,146,0.978978978978979,0.5645645645645646,0.9819819819819819,0.5645645645645646,0.952054794520548,0.958904109589041,0.16516516516516516,0.2132132132132132,0.410958904109589,0.5273972602739726,0.0,1.0,,,
season,6,2,1.0,0.6666666666666666,1.0,0.6666666666666666,,,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,1.0
season,8,4,1.0,0.5,1.0,0.5,,,0.5,0.0,0.5,0.0,,,,,2.0
season,10,3,1.0,0.7,1.0,0.7,,,0.0,0.2,0.0,0.2,,,,,3.0
season,10,5,1.0,0.5,1.0,0.5,,,0.0,0.4,0.0,0.4,,,,,4.0
season,10,6,1.0,0.4,1.0,0.4,,,0.2,0.3,0.2,0.3,,,,,5.0
season,10,3,1.0,0.7,1.0,0.7,,,0.1,0.2,0.1,0.2,,,,,6.0
season,10,5,0.8,0.6,0.8,0.6,,,0.1,0.2,0.3,0.4,,,,,7.0
season,11,5,1.0,0.5454545454545454,1.0,0.5454545454545454,,,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.45454545454545453,,,,,8.0
season,10,5,0.9,0.5,0.9,0.5,,,0.1,0.2,0.2,0.3,,,,,9.0
season,10,3,1.0,0.7,1.0,0.7,,,0.0,0.3,0.0,0.3,,,,,10.0
season,10,5,1.0,0.5,1.0,0.5,,,0.3,0.5,0.3,0.5,,,,,11.0
season,10,5,1.0,0.5,1.0,0.5,,,0.1,0.3,0.1,0.3,,,,,12.0
season,10,4,1.0,0.6,1.0,0.6,,,0.0,0.2,0.0,0.2,,,,,13.0
season,10,3,0.9,0.7,1.0,0.7,,,0.1,0.3,0.0,0.3,,,,,14.0
season,10,4,1.0,0.6,1.0,0.6,,,0.1,0.1,0.1,0.1,,,,,15.0
season,10,1,1.0,0.9,1.0,0.9,,,0.0,0.0,0.0,0.0,,,,,16.0
season,11,7,1.0,0.36363636363636365,1.0,0.36363636363636365,,,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,,,,,17.0
season,10,5,1.0,0.5,1.0,0.5,,,0.1,0.3,0.1,0.3,,,,,18.0
season,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,,,0.0,0.36363636363636365,0.0,0.36363636363636365,,,,,19.0
season,10,6,1.0,0.4,1.0,0.4,,,0.3,0.5,0.3,0.5,,,,,20.0
season,10,1,1.0,0.9,1.0,0.9,,,0.1,0.0,0.1,0.0,,,,,21.0
season,10,3,1.0,0.7,1.0,0.7,,,0.1,0.2,0.1,0.2,,,,,22.0
season,11,4,1.0,0.6363636363636364,1.0,0.6363636363636364,,,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,,,,,23.0
season,10,5,0.9,0.5,0.9,0.5,,,0.2,0.3,0.3,0.4,,,,,24.0
season,10,4,1.0,0.6,1.0,0.6,,,0.1,0.3,0.1,0.3,,,,,25.0
season,3,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.0,0.0,0.3333333333333333,0.3333333333333333,,,,,26.0
season,9,7,0.8888888888888888,0.2222222222222222,0.8888888888888888,0.2222222222222222,,,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.6666666666666666,,,,,27.0
season,11,4,1.0,0.6363636363636364,1.0,0.6363636363636364,,,0.2727272727272727,0.0,0.2727272727272727,0.0,,,,,28.0
season,11,5,1.0,0.5454545454545454,1.0,0.5454545454545454,,,0.18181818181818182,0.0,0.18181818181818182,0.0,,,,,29.0
season,10,3,1.0,0.7,1.0,0.7,,,0.1,0.0,0.1,0.0,,,,,30.0
season,10,6,1.0,0.4,1.0,0.4,,,0.3,0.0,0.3,0.0,,,,,31.0
season,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,,,0.45454545454545453,0.0,0.45454545454545453,0.0,,,,,32.0
season,9,4,1.0,0.5555555555555556,1.0,0.5555555555555556,,,0.1111111111111111,0.0,0.1111111111111111,0.0,,,,,33.0
season,11,6,1.0,0.45454545454545453,1.0,0.45454545454545453,,,0.45454545454545453,0.0,0.45454545454545453,0.0,,,,,34.0
