season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,judge_total,fan_vote_share
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,8.666666666666666,0.0952380952380952
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,5.666666666666667,0.238095238095238
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,4.666666666666667,0.2857142857142857
1,2,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.0,0.1428571428571428
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.0,0.1904761904761904
1,2,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,6.333333333333333,0.0476190476190476
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,8.0,0.2
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,7.0,0.3333333333333333
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,4.333333333333333,0.0666666666666666
1,3,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.666666666666666,0.1333333333333333
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.333333333333333,0.2666666666666666
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,7.0,0.3
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,8.666666666666666,0.2
1,4,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,8.333333333333334,0.1
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,6.666666666666667,0.4
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,9.0,0.3333333333333333
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,7.833333333333333,0.5
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,7.5,0.1666666666666666
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,7.666666666666667,0.0727272727272727
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,6.666666666666667,0.1272727272727272
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,6.0,0.1636363636363636
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,6.333333333333333,0.1454545454545454
2,1,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,7.333333333333333,0.0909090909090909
2,1,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.0,0.109090909090909
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,7.666666666666667,0.0545454545454545
2,1,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,4.0,0.1818181818181818
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,8.0,0.0363636363636363
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,4.333333333333333,0.0181818181818181
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,5.666666666666667,0.0222222222222222
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,7.333333333333333,0.1555555555555555
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.333333333333333,0.1333333333333333
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,6.666666666666667,0.1777777777777777
2,2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.666666666666666,0.0444444444444444
2,2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.1111111111111111
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,8.0,0.0888888888888888
2,2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,5.333333333333333,0.2
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.0666666666666666
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,8.666666666666666,0.1111111111111111
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.333333333333333,0.1666666666666666
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.333333333333334,0.1388888888888889
2,3,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.0,0.0833333333333333
2,3,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,6.333333333333333,0.1944444444444444
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,7.333333333333333,0.0277777777777777
2,3,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,4.666666666666667,0.2222222222222222
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.0555555555555555
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,8.333333333333334,0.1785714285714285
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.0,0.25
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.666666666666666,0.1428571428571428
2,4,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,8.666666666666666,0.1071428571428571
2,4,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,8.0,0.2142857142857142
2,4,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2.6666666666666665,0.0357142857142857
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.333333333333334,0.0714285714285714
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,7.333333333333333,0.0476190476190476
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,8.0,0.238095238095238
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.333333333333334,0.1904761904761904
2,5,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,10.0,0.0952380952380952
2,5,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.2857142857142857
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.0,0.1428571428571428
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,7.666666666666667,0.0666666666666666
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,9.0,0.2666666666666666
2,6,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,10.0,0.2
2,6,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,7.666666666666667,0.3333333333333333
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,10.0,0.1333333333333333
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,8.833333333333334,0.1
2,7,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,9.166666666666666,0.3
2,7,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,6.833333333333333,0.4
2,7,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,9.166666666666666,0.2
3,1,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,5.666666666666667,0.1
