feature,coef
intercept,10.369445617546399
ballroom_partner_Daniella Karagach (Rumer Willis week 9),1.532248411534197
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),1.0361419062299118
ballroom_partner_Alan Bersten (Rashad Jennings week 9),1.0307564737813344
celebrity_industry_Producer,0.9831233201440424
ballroom_partner_Derek Hough,0.9739889393438707
ballroom_partner_Val Chmerkovskiy,0.9318503859895955
ballroom_partner_Dmitry Chaplin,0.8052869567345539
celebrity_industry_Musician,0.7058150409051493
celebrity_homecountry/region_Croatia,0.6779262801833954
celebrity_homestate_Nebraska,0.661976244415748
celebrity_homestate_Maine,0.6429928628253069
ballroom_partner_Witney Carson,0.6166361408308636
celebrity_industry_Conservationist,0.6092064597045421
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.6092064597045236
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),0.6004281949819477
ballroom_partner_Damian Whitewood,0.598580575575258
celebrity_homecountry/region_New Zealand,0.5860200590477849
ballroom_partner_Pasha Pashkov,0.5691181458080614
celebrity_homestate_Utah,0.5427164344197815
ballroom_partner_Valentin Chmerkovskiy,0.5165985404900015
ballroom_partner_Artem Chigvintsev,0.5118982118023498
ballroom_partner_Mark Ballas,0.5064275332975483
ballroom_partner_Sasha Farber,0.41848122688576506
celebrity_industry_Astronaut,0.4178963731336097
ballroom_partner_Corky Ballas,0.4139170850584879
celebrity_industry_Social media personality,0.3527563703806549
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),0.35275637038065244
ballroom_partner_Brandon Armstrong,0.32210383146087346
ballroom_partner_Allison Holker,0.2692082417714958
ballroom_partner_Emma Slater,0.26565945903147936
ballroom_partner_Maksim Chmerkoskiy,0.2262221955110476
ballroom_partner_Peta Murgatroyd,0.20995276289316162
ballroom_partner_Cheryl Burke,0.2024205193204205
celebrity_homecountry/region_Wales,0.18471479910160576
ballroom_partner_Tony Dovolani,0.1752236473577971
celebrity_homecountry/region_South Korea,0.12484217493243377
ballroom_partner_Daniella Karagach,0.11071833594715852
celebrity_homecountry/region_Cuba,0.10062361065531145
ballroom_partner_Gleb Savchenko,0.07079452936764385
celebrity_homecountry/region_France,0.004491544016209992
celebrity_homecountry/region_Philippines,-0.0006766249356222609
celebrity_homestate_Nevada,-0.0016688506878770326
ballroom_partner_Lindsay Arnold,-0.0025345911143519473
season,-0.006089961034059593
ballroom_partner_Kym Johnson,-0.011487002438469673
ballroom_partner_Sharna Burgess,-0.025162303902432404
age,-0.04121633817810644
ballroom_partner_Nick Kosovich,-0.04287417689076334
ballroom_partner_Jonathan Roberts,-0.04571583961507286
celebrity_homestate_Massachusetts,-0.0534848770221914
celebrity_industry_Singer/Rapper,-0.07857915480468158
ballroom_partner_Julianne Hough,-0.07958233512992482
celebrity_homestate_Tennessee,-0.08183728021912484
celebrity_industry_Racing Driver,-0.09622320527867456
celebrity_homecountry/region_Canada,-0.10385233958917561
celebrity_homecountry/region_Brazil,-0.11614814573453652
celebrity_homestate_Georgia,-0.12361523300016186
celebrity_homecountry/region_Ireland,-0.14864158809259942
celebrity_homestate_Louisiana,-0.16920768075383408
ballroom_partner_Anna Trebunskaya,-0.16957240607158297
celebrity_industry_News Anchor,-0.1771187992372933
celebrity_homestate_Michigan,-0.17780465395110678
celebrity_homestate_Maryland,-0.21218281012104298
ballroom_partner_Louis van Amstel,-0.2226593489497794
celebrity_homestate_West Virginia,-0.24439007807337812
celebrity_homecountry/region_United States,-0.24905815480320254
celebrity_industry_Fashion Designer,-0.24909151372591687
ballroom_partner_Karina Smirnoff,-0.2658106901114278
celebrity_industry_Athlete,-0.2692327547310096
celebrity_homestate_Washington,-0.2782294879491805
ballroom_partner_Tristan MacManus,-0.28653577220679266
celebrity_homestate_Mississippi,-0.30577155218559526
celebrity_industry_Military,-0.31386305575524687
celebrity_homestate_Pennsylvania,-0.3256014035728254
ballroom_partner_Fabian Sanchez,-0.3330335840125225
celebrity_homestate_Connecticut,-0.33823398790392556
celebrity_industry_Social Media Personality,-0.36840930862892396
ballroom_partner_Jenna Johnson,-0.38936148030304096
celebrity_homestate_Minnesota,-0.39477684730949986
celebrity_homestate_Hawaii,-0.3987203074032343
ballroom_partner_Rylee Arnold,-0.4030179573703183
celebrity_homestate_Florida,-0.4213160787384437
celebrity_homestate_Arkansas,-0.4253194903481561
celebrity_homestate_Virginia,-0.45122196446834606
ballroom_partner_Edyta Sliwinska,-0.4590681498199161
ballroom_partner_Tyne Stecklein,-0.4765650296175363
ballroom_partner_Kym Herjavec,-0.48332151214771885
celebrity_industry_Motivational Speaker,-0.5061439211386074
celebrity_homestate_Texas,-0.5124743942383608
celebrity_homestate_Rhode Island,-0.5149948615372624
ballroom_partner_Jesse DeSoto,-0.5149948615372665
celebrity_industry_Comedian,-0.5209851691524392
ballroom_partner_Britt Stewart,-0.5235309749869952
celebrity_homestate_New York,-0.5235495487436184
ballroom_partner_Charlotte Jorgensen,-0.5298067889630205
celebrity_industry_Fitness Instructor,-0.536079125413538
celebrity_industry_Beauty Pagent,-0.5650111667459123
ballroom_partner_Brian Fortuna,-0.5650111667459179
celebrity_homecountry/region_Spain,-0.5678076155821127
ballroom_partner_Henry Byalikov,-0.5801402172565174
celebrity_homestate_California,-0.6026745275731493
celebrity_homestate_Ohio,-0.6245617145541642
celebrity_industry_TV Personality,-0.6256206545259314
celebrity_homecountry/region_England,-0.6476296676768631
ballroom_partner_Chelsie Hightower,-0.6505905421693366
celebrity_homecountry/region_Russia,-0.6541369841685385
celebrity_homecountry/region_Chile,-0.6594142859132239
celebrity_homestate_Kansas,-0.6733810402541572
celebrity_homestate_Delaware,-0.6755423035070028
celebrity_homestate_Illinois,-0.6863945757130319
celebrity_homestate_Arizona,-0.6913607417833663
celebrity_homestate_New Hamshire,-0.6920781160656702
celebrity_homestate_Colorado,-0.712057646888699
celebrity_homecountry/region_Poland,-0.7243800558627587
celebrity_homestate_New Jersey,-0.7425692525340732
celebrity_homestate_Indiana,-0.7772768489674791
celebrity_homestate_Wisconsin,-0.7997723318816745
ballroom_partner_Keo Motsepe,-0.8102006173921006
celebrity_homestate_South Carolina,-0.8279912940668102
ballroom_partner_Lacey Schwimmer,-0.8782866667610179
ballroom_partner_Alec Mazo,-0.8964898300640867
celebrity_industry_Radio Personality,-0.9344801390546885
celebrity_homecountry/region_Germany,-0.9664827065933294
celebrity_homestate_Missouri,-0.978614482795288
celebrity_homestate_North Carolina,-0.9798831988934054
celebrity_homestate_Iowa,-0.9857069109416267
celebrity_homestate_Washington D.C.,-1.0653411648689879
ballroom_partner_Koko Iwasaki,-1.105574166661631
celebrity_industry_Model,-1.127754706378578
celebrity_industry_Politician,-1.1296119274649405
ballroom_partner_Jan Ravnik,-1.1337997748479982
celebrity_homecountry/region_Mexico,-1.1566935189083822
celebrity_homestate_Kentucky,-1.1666698771178279
celebrity_industry_Sports Broadcaster,-1.2139467557065982
celebrity_homecountry/region_Czechoslovakia,-1.2231695392421775
ballroom_partner_Anna Demidova,-1.2693931049755944
celebrity_homestate_South Dakota,-1.282579311091544
celebrity_industry_Entrepreneur,-1.2916694226814966
celebrity_homecountry/region_Venezuela,-1.3308964469561406
celebrity_homestate_New Mexico,-1.3602000512415053
celebrity_homecountry/region_Australia,-1.3668975647355632
celebrity_homestate_Oregon,-1.373415165126171
celebrity_homecountry/region_South Africa,-1.4224480193231508
celebrity_industry_Journalist,-1.702880939272064
celebrity_homestate_Alaska,-1.9889851035222834
celebrity_homecountry/region_Italy,-2.028654301155255
celebrity_homecountry/region_Taiwan China,-2.0640234270393902
ballroom_partner_Ashly DelGrosso,-2.270841252085981
ballroom_partner_Andrea Hale,-2.386746407494921
ballroom_partner_Elena Grinenko,-2.811684886285528
